,,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
Heading,BE01,,,,,,,Using energy from renewable sources and actively encouraging suppliers to do the same.,,,,,,Using energy from renewable sources and actively encouraging suppliers to do the same.,,,,
Body,BE01,,,,,,,This ensures that business operations contribute to increasing the share of renewable energy in the global energy mix.,,,,,,This ensures that business operations do not contribute to the combustion of fossil fuels.,,,,
Heading,BE02,,,,,,Using water in an environmentally responsible and socially equitable way and actively encouraging suppliers to do the same.,,,,,,Using water in an environmentally responsible and socially equitable way and actively encouraging suppliers to do the same.,,Using water in an environmentally responsible and socially equitable way and actively encouraging suppliers to do the same.,Using water in an environmentally responsible and socially equitable way and actively encouraging suppliers to do the same.,,
Body,BE02,,,,,,This ensures that business operations do not undermine the ability of local communities to meet their water needs. This includes protecting freshwater supplies by eliminating withdrawal from sources that suffer from water stress.,,,,,,This ensures that business operations do not undermine the ability of local communities to access fresh water for drinking and sanitation.,,This ensures that a company does not emit harmful water discharge which could end up in marine environments.,"This ensures that freshwater resources are used in a sustainable way, to prevent desertification and protect ecosystems.",,
Heading,BE03,"Using natural resources that derive from sources that respect communities, ecosystems and animals.","Using natural resources that derive from sources that respect communities, ecosystems and animals.",,,,,,"Using natural resources that derive from sources that respect communities, ecosystems and animals.",,,,"Using natural resources that derive from sources that respect communities, ecosystems and animals.",,"Using natural resources that derive from sources that respect communities, ecosystems and animals.","Using natural resources that derive from sources that respect communities, ecosystems and animals.",,
Body,BE03,"This ensures that any natural resources the business relies on (e.g. those embedded in its products) are obtained without undermining the resilience of local communities (e.g. not sourcing conflict minerals, protecting regional biodiversity).","This ensures that any natural resources the business relies on (e.g. plants, livestock, fish) are obtained without undermining the environment’s capacity to regenerate them (e.g. maintaining healthy soil, not over-harvesting from the wild).",,,,,,This ensures that any natural resources the business relies on (e.g. those embedded in its products) are obtained without degrading the environment (e.g. by using recycled materials to reduce demand for virgin resources).,,,,This ensures that any natural resources the business relies on (e.g. those embedded in its products) are obtained without degrading the environment (e.g. maintaining healthy soils and resource stocks).,,This ensures that any natural resources the business relies on (e.g. those embedded in its products) are obtained without degrading the environment (e.g. maintaining fish stocks and the aquatic ecosystems that support them).,"This ensures that any natural resources the business relies on (e.g. those embedded in its products) are obtained without degrading the terrestrial and aquatic ecosystems which contribute to their delivery (e.g ensuring wood-based inputs come from sustainably-managed forests, avoiding the use of bio-based resources which could be harvested from the wild and whose origin cannot be traced).",,
Heading,BE04,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,Procurement of goods and services does not hinder progress.,
Body,BE04,"The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.","The environmental and social footprints of a company’s supply chain affect society’s progress towards many of the global challenges that the SDGs seek to address. By taking steps to increase the fitness of its supply chain, the company encourages actions that support the related SDGs.",
Heading,BE05,,,Eliminating operational emissions that harm people or the environment and actively encouraging suppliers to do the same.,,,Eliminating operational emissions that harm people or the environment and actively encouraging suppliers to do the same.,,,,,Eliminating operational emissions that harm people or the environment and actively encouraging suppliers to do the same.,Eliminating operational emissions that harm people or the environment and actively encouraging suppliers to do the same.,,Eliminating operational emissions that harm people or the environment and actively encouraging suppliers to do the same.,Eliminating operational emissions that harm people or the environment and actively encouraging suppliers to do the same.,,
Body,BE05,,,"This ensures that business operations do not emit harmful substances into the air (e.g. gaseous pollutants), land (e.g. hazardous pesticides) and water (e.g. effluents and spills).",,,"This ensures that business operations emit no harmful substances into local water sources, including untreated wastewater.",,,,,"This ensures that business operations do not emit harmful substances in the air (e.g. gaseous pollutants), land (e.g. toxic spills) and water (e.g. untreated sewage).","this ensures that business operations do not emit harmful substances into air (e.g. chemicals that impact people’s health), land (e.g. hazardous pesticides) and water (e.g. toxic spills).",,This ensures that business operations do not emit harmful substances into watersheds or oceans (e.g. preventing fertilizer run-off into rivers).,"This ensures that business operations do not emit harmful substances into air (e.g. chemicals harmful to bees), land (e.g. chemicals which degrade the soil) and water (e.g. effluents released directly into watersheds).",,
