,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Relevant GRI Metrics,G4-PR3,BE15,,,,,,,,,,,,,,,,,,,,,,
,parsed from row 4 onwards,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,no.,n/a,,,,,,,,,,,,,,,,,,,,,,
,,title,"Product communications are honest, ethical, and promote responsible use",,,,,,,,,,,,,,,,,,,,,,
,,description,"To reach a sustainable future, companies must provide customers with the information they need to make responsible decisions regarding the purchase, use, and post-use processing of their products.",,,,,,,,,,,,,,,,,,,,,,
,,,"This is achieved by identifying who the customers are which use the company’s products, and implementing appropriate communication plans which support informed purchase decisions, the proper use of products, and the proper post-use treatment of goods. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,no.,1,,,,,,,,,,,,,,,,,,,,,,
,,section title,Applicability,,,,,,,,,,,,,,,,,,,,,,
,,title,Did the company sell or deliver any products or services to customers during the reporting period?,,,,,,,,,,,,,,,,,,,,,,
,,description,This goal applies to all companies that deliver products or perform services for customers.,,,,,,,,,,,,,,,,,,,,,,
,,type,options (single),,,,,,,,,,,,,,,,,,,,,,
,,,1,2,,,,,,,,,,,,,,,,,,,,,
,,option text,Yes,No,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
If,1.2,,,,,,,,,,,,,,,,,,,,,,,,
,,no.,2,,,,,,,,,,,,,,,,,,,,,,
,,title,,,,,,,,,,,,,,,,,,,,,,,
,,description,Please provide a brief description of why this goal did not apply to the company during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
,,type,text,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
If,1.1,,,,,,,,,,,,,,,,,,,,,,,,
,,no.,3,,,,,,,,,,,,,,,,,,,,,,
,,section title,Data Awareness,,,,,,,,,,,,,,,,,,,,,,
,,title,Has the company identified the characteristics of individuals or organisations that use its products or services?,,,,,,,,,,,,,,,,,,,,,,
,,description,Please select the option below that best describes the degree to which the company tracked this information during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
,,type,options (single),,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,,,,,,,,,,,,,,,,,,,,
,,option text,Company has not identified user groups.,"Company has identified some of its total user groups, such as for some products, or representing a portion of the users for all products.","Company has identified all or substantially all of its user groups, representing (90%+) of total sales by transaction volume.",,,,,,,,,,,,,,,,,,,,
,,value,0,1,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
If,1.1,,,,,,,,,,,,,,,,,,,,,,,,
and,"3.2, 3.3",,,,,,,,,,,,,,,,,,,,,,,,
,,no.,n/a,,,,,,,,,,,,,,,,,,,,,,
,,section title,Progress Data,,,,,,,,,,,,,,,,,,,,,,
,,title,"For each of the following, please select the option that best indicates the proportion of the company's user groups which were provided with relevant information on the topics described, delivered in a format accessible to them.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
If,1.1,,,,,,,,,,,,,,,,,,,,,,,,
and,"3.2, 3.3",,,,,,,,,,,,,,,,,,,,,,,,
,,no.,4,,,,,,,,,,,,,,,,,,,,,,
,,title,"Purchase decisions: The company communicates terms of the sale or contract, potential risks related to the product or service, and any additional purchases that would be required to use the product (e.g. fuel).",,,,,,,,,,,,,,,,,,,,,,
,,description,,,,,,,,,,,,,,,,,,,,,,,
,,type,options (single),,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,,,,,,,,,,,,,,,,,,,,
,,option text,None of the identified user groups,Some of the identified user groups,All of the identified user groups,,,,,,,,,,,,,,,,,,,,
,,value,0,0.25,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
If,1.1,,,,,,,,,,,,,,,,,,,,,,,,
and,"3.2, 3.3",,,,,,,,,,,,,,,,,,,,,,,,
,,no.,5,,,,,,,,,,,,,,,,,,,,,,
,,title,"Use of product / service: The company communicates any considerations for the safe use of the product, information about the product / service's expected lifespan or expiry date, and instructions on how to use it efficiently.",,,,,,,,,,,,,,,,,,,,,,
,,description,,,,,,,,,,,,,,,,,,,,,,,
,,type,options (single),,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,,,,,,,,,,,,,,,,,,,,
,,option text,None of the identified user groups,Some of the identified user groups,All of the identified user groups,,,,,,,,,,,,,,,,,,,,
,,value,0,0.25,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
If,1.1,,,,,,,,,,,,,,,,,,,,,,,,
and,"3.2, 3.3",,,,,,,,,,,,,,,,,,,,,,,,
,,no.,6,,,,,,,,,,,,,,,,,,,,,,
,,title,"Post-use treatment: The company communicates information on how to repurpose or recycle materials, and any potential harm that could arise from improper disposal of materials.",,,,,,,,,,,,,,,,,,,,,,
,,description,,,,,,,,,,,,,,,,,,,,,,,
,,type,options (single),,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,,,,,,,,,,,,,,,,,,,,
,,option text,None of the identified user groups,Some of the identified user groups,All of the identified user groups,,,,,,,,,,,,,,,,,,,,
,,value,0,0.25,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SCORE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,awareness,,,,,,,,,,,,,,,,,,,,,,
,,score,BE15-3 / 2 * 100,,,,,,,,,,,,,,,,,,,,,,
,,unit,%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,progress,,,,,,,,,,,,,,,,,,,,,,
,,score,( BE15-4 + BE15-5 + BE15-6  ) / 3 * 100,,,,,,,,,,,,,,,,,,,,,,
,,unit,% key data points communicated to customers,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
"If they have chosen 1.2, we set the score to 100%",,,,,,,,,,,,,,,,,,,,,,,,,
"If they have not got to 4, 5 or 6, score will be 0",,,,,,,,,,,,,,,,,,,,,,,,,
