,,,,
,Break Even,SDGs,,
,BE01,"7, 13",,
,BE02,"6, 12, 14, 15",,
,BE03,"1, 2, 8, 12, 14, 15",,
,BE04,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",,
,BE05,"3, 6, 11, 12, 14, 15",,
,BE06,13,,
,BE07,"11, 12, 14",,
,BE08,"1, 6, 11, 13, 14, 15",,
,BE09,"11, 16",,
,BE10,"2, 3, 5, 6, 8",,
,BE11,"1, 2, 3, 6, 8, 10, 11",,
,BE12,"5, 8",,
,BE13,"5, 10",,
,BE14,"5, 10, 16",,
,BE15,12,,
,BE16,"12, 16",,
,BE17,"3, 6, 11, 12, 14",,
,BE18,13,,
,BE19,"11, 12, 14",,
,BE20,16,,
,BE21,"9, 10",,
,BE22,16,,
,BE23,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",,
