,Question 1 (the same options are always shown):,,Question 2 (options shown are dependant on option selected in Q1):,,"Question 3 (asked only if required, options shown are dependant on option selected in Q2):",,
,Which of the following best describes your company’s primary business activity?,,Which of the following best describes your company’s primary business activity?,,"Which of the following best describes your company’s primary business activity? (Select only if the topics apply, leave blank if none of the listed topics apply)",,
Sector ID,Sector Activity,,Sub-Sector Activity,,Business Activity Category,Heatmap code,"Assigned Heatmap (determines which questions the user will be asked, and the weighting of each question)"
A,"Agriculture, forestry and fishing",1,Agriculture,1.1,Animal rearing,A1,Animal rearing
,,,,1.2,Crop production,A2,Crop production
,,2,Fishing and aquaculture,2.1,Aquaculture,A3,Aquaculture
,,,,2.2,Fishing,A4,Fishing
,,3,Forestry and logging,,,A5,Forestry and logging
,,4,"Hunting, trapping and related service activities",,,A6,"Hunting, trapping and related service activities"
,,5,Post-harvest crop activities,,,A7,Post-harvest crop activities
B,Mining and quarrying,1,Extraction of fossil fuels,1.1,Extraction of crude petroleum and natural gas,B1,Extraction of crude petroleum and natural gas
,,,,1.2,Extraction of peat,B2,Extraction of peat
,,,,1.3,Mining of coal and lignite,B3,Mining of coal and lignite
,,2,Mining of metal ores,2.1,Mining of iron ores,B4,Mining of iron ores
,,,,2.2,Mining of non-ferrous metal ores,B5,Mining of non-ferrous metal ores
,,3,Mining of minerals,,,B6,Mining of minerals
,,4,Other mining and quarrying,4.1,"Quarrying of stone, sand and clay",B7,"Quarrying of stone, sand and clay"
,,,,4.2,Other,B8,Other mining and quarrying
C,Manufacturing,1,Manufacture of chemicals and plastics,1.1,Manufacture of fertilizers and pesticides,C1,Manufacture of fertilizers and pesticides
,,,,1.2,Manufacture of gases and steam,C2,Manufacture of gases and steam
,,,,1.3,"Manufacture of paints, varnishes and coatings",C3,"Manufacture of paints, varnishes and coatings"
,,,,1.4,Other,C4,Manufacture of chemicals and plastics
,,2,Manufacture of consumables,2.1,Manufacture of alcoholic beverages,C5,Manufacture of alcoholic beverages
,,,,2.2,Manufacture of cleaning products and cosmetics,C6,Manufacture of cleaning products and cosmetics
,,,,2.3,Manufacture of food and beverage,C7,Manufacture of food and beverage
,,,,2.4,Manufacture of pharmaceuticals,C8,Manufacture of pharmaceuticals
,,,,2.5,Manufacture of tobacco products,C9,Manufacture of tobacco products
,,3,Manufacture of consumer durables,3.1,Manufacture of cultural and recreation goods,C10,Manufacture of cultural and recreation goods
,,,,3.2,Manufacture of furniture,C11,Manufacture of furniture
,,,,3.3,Manufacture of jewellery and watches,C12,Manufacture of jewellery and watches
,,,,3.4,Other,C13,Manufacture of consumer durables
,,4,Manufacture of electronic components and boards,4.1,Manufacture of batteries,C14,Manufacture of batteries
