,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,PP Action,Description,,,,,,,,,,,,,,,,,,,,,,
,X0-1,PP21.01,"Closing gaps in infrastructure by expanding existing systems or creating new ones, increasing access for underserved individuals",,,,,,,,,,,,,,,,,,,,,,
,X0-1,PP21.02,Aligning infrastructure with sustainability by improving the efficiency of existing infrastructure,,,,,,,,,,,,,,,,,,,,,,
,X0-1,PP21.03,Aligning infrastructure with sustainability by improving existing infrastructure to reduce its associated negative impacts,,,,,,,,,,,,,,,,,,,,,,
,X0-1,PP21.04,Aligning infrastructure with sustainability by creating or upgrading systems that enhance community or environmental resiliency,,,,,,,,,,,,,,,,,,,,,,
,X0-2,PP24.01,Embedding sustainability in society by working to influence decision makers to align their policies with social and environmental wellbeing,,,,,,,,,,,,,,,,,,,,,,
,X0-2,PP24.02,"Embedding sustainability in society by taking a leadership role, setting an example on social and environmentally sound actions",,,,,,,,,,,,,,,,,,,,,,
,X0-2,PP24.03,Embedding sustainability in society by introducing new technologies which encourage the adoption of sustainable practices,,,,,,,,,,,,,,,,,,,,,,
,X1-1,PP01.02,Helping individuals or organisations be more energy efficient,,,,,,,,,,,,,,,,,,,,,,
,X1-2,PP02.01,Increasing access to electricity or clean cooking for underserved individuals,,,,,,,,,,,,,,,,,,,,,,
,X1-2.1,PP02.01,"Increasing access to electricity or clean cooking for underserved individuals, via new / improved infrastructure",,,,,,,,,,,,,,,,,,,,,,
,X1-2.1,PP21.01,Closing gaps in energy infrastructure to provide access for previously underserved individuals ,,,,,,,,,,,,,,,,,,,,,,
,X1-2.2,PP02.01,"Increasing access to electricity or clean cooking for underserved individuals, via infrastructure with improved efficiency",,,,,,,,,,,,,,,,,,,,,,
,X1-2.2,PP21.02,Aligning infrastructure with sustainability by improving the efficiency of existing energy infrastructure,,,,,,,,,,,,,,,,,,,,,,
,X1-2.3,PP02.01,Increasing access to electricity or clean cooking for individuals via expanded / upgraded technology,,,,,,,,,,,,,,,,,,,,,,
,X1-2.4,PP24.03,Embedding sustainability in society by introducing new technologies which encourage the adoption of clean cooking,,,,,,,,,,,,,,,,,,,,,,
,X1-2.4,PP02.01,Increasing access to clean cooking for underserved individuals by introducing new technologies,,,,,,,,,,,,,,,,,,,,,,
,X1-3,PP01.01,"Increasing the availability of renewable energy by producing it for distribution, allowing consumers to switch to renewables",,,,,,,,,,,,,,,,,,,,,,
,X1-3.1,PP01.01,"Increasing the availability of renewable energy through improved infrastructure efficiency, allowing consumers to switch to renewables",,,,,,,,,,,,,,,,,,,,,,
