PREFIX,X0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,F2,F2,F3,F3,F4,F5,Option,Text,Option 2 ,Text 2,Option 3 ,Text 3,Option 4,Text 4,Option 5,Text 5,PP Action,PP Action 2,PP Action 3,SDG Targets,,,,,,,
,,,,,,,,1,Improving or expanding infrastructure,,,,,,,,,,,,,,,,,,,
,,,,,,F4.1,,,,,,,,,,,,PP21.01,,,9.1,,,,,,,
,F1.1,,,,,F4.1,,,,,,,,,,,,PP21.01,,,9.a,,,,,,,
,,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.1,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.a,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.4,,,,,,,
,,,,,,F4.3,,,,,,,,,,,,PP21.03,,,9.1,,,,,,,
,F1.1,,,,,F4.3,,,,,,,,,,,,PP21.03,,,9.a,,,,,,,
,F1.1,,,,,F4.3,,,,,,,,,,,,PP21.03,,,9.4,,,,,,,
,,,,,,F4.4,,,,,,,,,,,,PP21.04,,,9.1,,,,,,,
,F1.1,,,,,F4.4,,,,,,,,,,,,PP21.04,,,9.a,,,,,,,
,,,,,,,,2,Changing social norms,,,,,,,,,,,,,,,,,,,
,,,,,,,F5.1,,,,,,,,,,,PP24.01,,,,,,,,,,
,,,,,,,F5.2,,,,,,,,,,,PP24.02,,,,,,,,,,
,,,,,,,F5.3,,,,,,,,,,,PP24.03,,,,,,,,,,
