PREFIX,X1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,F2,F2,F3,F3,F4,F5,Option,Text,Option 2 ,Text 2,Option 3 ,Text 3,Option 4,Text 4,Option 5,Text 5,PP Action,PP Action 2,PP Action 3,SDG Targets,,,,,,,
,,,,,,,,1,Helping others to improve energy efficiency ,,,,,,,,,PP01.02,,,7.3,,,,,,,
,,,,F3.2,,,,,,,,,,,,,,PP01.02,,,7.a,,,,,,,
,,,,,,,,2,Increasing access to energy and/or clean cooking facilities,,,,,,,,,PP02.01,,,7.1,,,,,,,
,,,,F3.2,,,,,,,,,,,,,,PP02.01,,,7.a,,,,,,,
,F1.1,,,,,F4.1,,,,2.1,Increasing access with new or upgraded energy infrastructure,,,,,,,PP02.01,PP21.01,,7.b,,,,,,,
,F1.1,,,,,F4.1,,,,,,,,,,,,PP21.01,,,9.1,,,,,,,
,F1.1,,,,,F4.1,,,,,,,,,,,,PP21.01,,,9.a,,,,,,,
,F1.1,,,,,F4.2,,,,2.2,Improving efficiency by upgrading existing energy infrastructure ,,,,,,,PP02.01,PP21.02,,7.b,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.1,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.a,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.4,,,,,,,
,F1.1,,,,,,,,,2.3,Expanding or upgrading energy technology,,,,,,,PP02.01,,,7.b,,,,,,,
,F1.1,,,,,,F5.3,,,2.4,Introducing new technologies which encourage the adoption of clean cooking,,,,,,,PP24.03,,,12.a,,,,,,,
,,,,,,,,3,Producing renewable energy,,,,,,,,,PP01.01,,,7.2,,,,,,,
,,,,F3.2,,,,,,,,,,,,,,PP01.01,,,7.a,,,,,,,
,,,,,,,,,,3.1,Improving efficiency by upgrading existing renewable energy infrastructure,,,,,,,,,,,,,,,,,
,,,,F3.4,,F4.2,,,,,,,,,,,,PP01.01,PP21.02,,7.a,,,,,,,
,,,,F3.4,,F4.2,,,,,,,,,,,,PP21.02,,,9.1,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP01.01,PP21.02,,7.b,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.1,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.a,,,,,,,
,F1.1,,,,,F4.2,,,,,,,,,,,,PP21.02,,,9.4,,,,,,,
,F1.1,,,,,F4.1,,,,3.2,Increasing access with new or upgraded renewable energy infrastructure,,,,,,,PP01.01,PP21.01,,7.b,,,,,,,
,F1.1,,,,,F4.1,,,,,,,,,,,,PP21.01,,,9.1,,,,,,,
,F1.1,,,,,F4.1,,,,,,,,,,,,PP21.01,,,9.a,,,,,,,
,F1.1,,,,,,,,,3.4,Expanding or upgrading renewable energy technology,,,,,,,PP01.01,,,7.b,,,,,,,
,F1.1,,,,,,F5.3,,,3.5,Introducing new technologies which encourage adoption of renewable energy use,,,,,,,PP24.03,,,12.a,,,,,,,
,,,,,,,,4,Removing or reducing fossil fuel subsidies,,,,,,,,,PP23.01,,,12.c,,,,,,,
