PREFIX,X4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1,F2,F2,F3,F3,F4,F5,Option,Text,Option 2 ,Text 2,Option 3 ,Text 3,Option 4,Text 4,Option 5,Text 5,PP Action,PP Action 2,PP Action 3,SDG Targets,,,,,,,
,,,,,,,,1,Greenhouse gas (GHG) emissions,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.1,Helping others to reduce or eliminate GHG emissions,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.1.1,"Enabling others to modify their activities, reducing production of GHG emissions ",,,,,PP06.01,,,13.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP06.01,,,13.3,,,,,,,
,,,,,,,,,,,,,,,,,,PP12.02,,,14.3,,,,,,,
,,,,,,,,,,,,1.1.2,Enabling others to substitute their previous activities with ones that produce no GHG emissions,,,,,PP06.02,,,13.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP06.02,,,13.3,,,,,,,
,,,,,,,,,,,,,,,,,,PP12.02,,,14.3,,,,,,,
,,,,,,,,,,,,1.1.3,Capturing GHGs created by others before they enter the atmosphere and storing them safely,,,,,PP06.03,,,13.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP06.03,,,13.3,,,,,,,
,,,,,,,,,,,,,,,,,,PP12.02,,,14.3,,,,,,,
,,,,,,,,,,1.2,Filtering GHGs from the atmosphere (carbon capture),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.2.1,"Planting, growing or creating new carbon sinks (including trees, other vegetation and soil)",,,,,PP07.01,,,13.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP12.01,,,14.3,,,,,,,
,,,,,,,,,,,,1.2.2,"Increasing the capability of existing carbon sinks (vegetation, soils and oceans) to store GHGs",,,,,PP07.02,,,13.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP12.01,,,14.3,,,,,,,
,,,,,,,,,,,,1.2.3,Using technology to capture and store GHG emissions,,,,,PP07.03,,,13.2,,,,,,,
,,,,,,,,,,,,,,,,,,PP12.01,,,14.3,,,,,,,
,,,,,,,,2,Other harmful pollution,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2.1,"Helping others to reduce or eliminate harmful pollution (toxic fumes, chemical spills, fertiliser runoff, aerosols etc.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.1.1,"Enabling others to modify their activities, reducing production of pollution",,,,,PP08.01,,,12.4,,,,,,,
,F1.2,,,,,,,,,,,,,,,,,PP08.01,,,11.6,,,,,,,
,,,,,,,,,,,,,,2.1.1.1,Ocean pollution,,,PP08.01,,,14.1,,,,,,,
,,,,,,,,,,,,,,2.1.1.2,Freshwater pollution,,,PP08.01,,,6.3,,,,,,,
,,,,,,,,,,,,,,2.1.1.3,Soil or land pollution,,,PP08.01,,,15.3,,,,,,,
,,,,,,,,,,,,,,2.1.1.4,"Reducing deaths and illnesses from hazardous chemicals, pollution and contamination",,,PP08.01,PP16.01,,3.9,,,,,,,
,,,,,,,,,,,,2.1.2,Enabling others to substitute their previous activities with ones that produce no pollution,,,,,PP08.02,,,12.4,,,,,,,
,F1.2,,,,,,,,,,,,,,,,,PP08.02,,,11.6,,,,,,,
,,,,,,,,,,,,,,2.1.2.1,Ocean pollution,,,PP08.02,,,14.1,,,,,,,
,,,,,,,,,,,,,,2.1.2.2,Freshwater pollution,,,PP08.02,,,6.3,,,,,,,
,,,,,,,,,,,,,,2.1.2.3,Soil or land pollution,,,PP08.02,,,15.3,,,,,,,
,,,,,,,,,,,,,,2.1.2.4,"Reducing deaths and illnesses from hazardous chemicals, pollution and contamination",,,PP08.02,PP16.01,,3.9,,,,,,,
,,,,,,,,,,,,2.1.3,Capturing pollution created by others before it is emitted and storing it safely,,,,,PP08.03,,,12.4,,,,,,,
,F1.2,,,,,,,,,,,,,,,,,PP08.03,,,11.6,,,,,,,
,,,,,,,,,,,,,,2.1.3.1,Ocean pollution,,,PP08.03,,,14.1,,,,,,,
,,,,,,,,,,,,,,2.1.3.2,Freshwater pollution,,,PP08.03,,,6.3,,,,,,,
,,,,,,,,,,,,,,2.1.3.3,Soil or land pollution,,,PP08.03,,,15.3,,,,,,,
,,,,,,,,,,,,,,2.1.3.4,"Reducing deaths and illnesses from hazardous chemicals, pollution and contamination",,,PP08.03,PP16.01,,3.9,,,,,,,
,,,,,,,,,,2.2,Cleaning or filtering pollution out from the environment,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2.2.1,Removing or neutralising air pollution,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.2.1.1,Improving air quality,,,PP09.01,,,,,,,,,,
,,,,,,,,,,,,,,2.2.1.2,Improving health of ecosystems,,,PP09.02,,,,,,,,,,
,,,,,,,,,,,,,,2.2.1.3,Reducing deaths and illnesses from hazardous atmospheric pollution and contamination,,,PP09.02,PP16.01,,3.9,,,,,,,
,,,,,,,,,,,,2.2.2,Removing or neutralising ocean pollution,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.2.2.1,Improving marine water quality,,,PP09.01,,,14.1,,,,,,,
,,,,,,,,,,,,,,2.2.2.2,Improving health of marine ecosystems,,,PP09.02,,,14.1,,,,,,,
,,,,,,,,,,,,,,2.2.2.3,Reducing deaths and illnesses from hazardous oceanic pollution and contamination,,,PP09.02,PP16.01,,14.1,,,,,,,
,,,,,,,,,,,,,,,,,,PP09.02,PP16.01,,3.9,,,,,,,
,,,,,,,,,,,,2.2.3,Removing or neutralising freshwater pollution ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.2.3.1,Improving freshwater quality,,,PP09.01,,,6.3,,,,,,,
,,,,,,,,,,,,,,2.2.3.2,Improving health of freshwater ecosystems,,,PP09.02,,,6.3,,,,,,,
,,,,,,,,,,,,,,2.2.3.3,Reducing deaths and illnesses from hazardous freshwater pollution and contamination,,,PP09.02,PP16.01,,6.3,,,,,,,
,,,,,,,,,,,,,,,,,,PP09.02,PP16.01,,3.9,,,,,,,
,,,,,,,,,,,,2.2.4,Removing or neutralising soil or land pollution,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.2.4.1,Improving soil quality,,,PP09.01,,,15.3,,,,,,,
,,,,,,,,,,,,,,2.2.4.2,Improving health of land-based ecosystems,,,PP09.02,,,15.3,,,,,,,
,,,,,,,,,,,,,,2.2.4.3,Reducing deaths and illnesses from hazardous land pollution and contamination,,,PP09.02,PP16.01,,15.3,,,,,,,
,,,,,,,,,,,,,,,,,,PP09.02,PP16.01,,3.9,,,,,,,
