,Break-Even Goals,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Area,Goal #,Sidebar Name,Short Name,Full Name,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Energy,,,,,,,,,,,,,,,,,,,,,,,,
description,Energy is renewable and available to all,,,,,,,,,,,,,,,,,,,,,,,,
,,BE01,Energy Use,Energy Use,Energy is from renewable sources,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Water,,,,,,,,,,,,,,,,,,,,,,,,
description,Water is responsibly sourced and available to all,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE02,Water Use,Water Use,Water use is environmentally responsible and socially equitable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,
description,"Natural resources are managed to safeguard ecosystems, communities and animals",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE03,Natural Resource Management,Natural Resource Management,"Natural resources are managed to respect the welfare of ecosystems, people and animals",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Pollution,,,,,,,,,,,,,,,,,,,,,,,,
description,The environment is free from pollution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE05,Non-GHG Emissions,Operational Non-GHG Emissions,Operational emissions do not harm people or the environment,,,,,,,,,,,,,,,,,,,,
,,BE06,GHG Emissions,Operational GHG Emissions,Operations emit no greenhouse gases,,,,,,,,,,,,,,,,,,,,
,,BE18,Product GHG Emissions,Product GHG Emissions,Products emit no greenhouse gases,,,,,,,,,,,,,,,,,,,,
,,BE17,Product Characteristics,Product Characteristics,Products do not harm people or the environment,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Waste,,,,,,,,,,,,,,,,,,,,,,,,
description,Waste does not exist,,,,,,,,,,,,,,,,,,,,,,,,
,,BE07,Operational Waste,Operational Waste,Operational waste is eliminated,,,,,,,,,,,,,,,,,,,,
,,BE19,Product Repurposing,Product Repurposing,Products can be repurposed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Physical Presence,,,,,,,,,,,,,,,,,,,,,,,,
description,Our physical presence protects the health of ecosystems and communities,,,,,,,,,,,,,,,,,,,,,,,,
,,BE08,Physical Presence,Physical Presence,Operations do not encroach on ecosystems or communities,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,People,,,,,,,,,,,,,,,,,,,,,,,,
description,People have the capacity and opportunity to lead fulfilling lives,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE09,Community Engagement,Community Engagement,Community health is safeguarded,,,,,,,,,,,,,,,,,,,,
,,BE10,Employee Health,Employee Health,Employee health is safeguarded,,,,,,,,,,,,,,,,,,,,
,,BE11,Employee Wages,Employee Wages,Employees are paid at least a living wage,,,,,,,,,,,,,,,,,,,,
,,BE12,Employee Contracts,Employee Contracts,Employees are subject to fair employment terms,,,,,,,,,,,,,,,,,,,,
,,BE13,Employee Discrimination,Employee Discrimination,Employees are not subject to discrimination,,,,,,,,,,,,,,,,,,,,
,,BE14,Employee Engagement,Employee Engagement,"Employee concerns are actively solicited, impartially judged and transparently addressed",,,,,,,,,,,,,,,,,,,,
,,BE15,Product Communications,Product Communications,"Product communications are honest, ethical, and promote responsible use",,,,,,,,,,,,,,,,,,,,
,,BE16,Customer Engagement,Customer Engagement,"Product concerns are actively solicited, impartially judged and transparently addressed",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Drivers,,,,,,,,,,,,,,,,,,,,,,,,
description,People have the capacity and opportunity to lead fulfilling lives,,,,,,,,,,,,,,,,,,,,,,,,
,,BE04,Procurement,Procurement,Procurement safeguards the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,BE20,Ethical Risk Management,Ethical Risk Management,Business is conducted ethically ,,,,,,,,,,,,,,,,,,,,
,,BE21,Tax Commitments,Tax Commitments,The right tax is paid in the right place at the right time,,,,,,,,,,,,,,,,,,,,
,,BE22,Lobbying and Advocacy,Lobbying and Advocacy,Lobbying and advocacy safeguard the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,BE23,Financial Assets,Financial Assets,Financial assets safeguard the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
