,Break-Even Goals,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Area,Goal #,Sidebar Name,Short Name,Full Name,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Energy,,,,,,,,,,,,,,,,,,,,,,,,
description,Energy is renewable and available to all,,,,,,,,,,,,,,,,,,,,,,,,
,,BE01,Energy,Energy use,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Water,,,,,,,,,,,,,,,,,,,,,,,,
description,Water is responsibly sourced and available to all,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE02,Water,Water use,Energy is from renewable sources,,,,,,,,,,,,,,,,,,,,
,,,,,Procurement safeguards the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,
description,"Natural resources are managed to safeguard ecosystems, communities and animals",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE03,Natural resources,Natural resources,Water use is environmentally responsible and socially equitable,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Pollution,,,,,,,,,,,,,,,,,,,,,,,,
description,The environment is free from pollution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE05,Emissions,Operational emissions,Operational emissions do not harm people or the environment,,,,,,,,,,,,,,,,,,,,
,,BE06,GHGs,Operational GHGs,Operations emit no greenhouse gases,,,,,,,,,,,,,,,,,,,,
,,BE18,Product GHGs,Product GHGs,Products emit no greenhouse gases,,,,,,,,,,,,,,,,,,,,
,,BE17,Products,Product characteristics,Products do not harm people or the environment,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Waste,,,,,,,,,,,,,,,,,,,,,,,,
description,Waste does not exist,,,,,,,,,,,,,,,,,,,,,,,,
,,BE07,Operational Waste,Operational Waste,Operational waste is eliminated,,,,,,,,,,,,,,,,,,,,
,,BE19,Repurposing,Product repurposing,Products can be repurposed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Physical Presence,,,,,,,,,,,,,,,,,,,,,,,,
description,Our physical presence protects the health of ecosystems and communities,,,,,,,,,,,,,,,,,,,,,,,,
,,BE08,Physical presence,Physical presence,Operations do not encroach on ecosystems or communities,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,People,,,,,,,,,,,,,,,,,,,,,,,,
description,People have the capacity and opportunity to lead fulfilling lives,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,BE09,Community engagement,Community engagement,Community health is safeguarded,,,,,,,,,,,,,,,,,,,,
,,BE10,Health,Employee health,Employee health is safeguarded,,,,,,,,,,,,,,,,,,,,
,,BE11,Wages,Employee wages,Employees are paid at least a living wage,,,,,,,,,,,,,,,,,,,,
,,BE12,Employment Terms,Employment Terms,Employees are subject to fair employment terms,,,,,,,,,,,,,,,,,,,,
,,BE13,Anti-discrimination,Anti-discrimination,Employees are not subject to discrimination,,,,,,,,,,,,,,,,,,,,
,,BE14,Engagement,Employee engagement,"Employee concerns are actively solicited, impartially judged and transparently addressed",,,,,,,,,,,,,,,,,,,,
,,BE15,Communications,Product communications,"Product communications are honest, ethical, and promote responsible use",,,,,,,,,,,,,,,,,,,,
,,BE16,Customer engagement,Customer engagement,"Product concerns are actively solicited, impartially judged and transparently addressed",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
title,Drivers,,,,,,,,,,,,,,,,,,,,,,,,
description,People have the capacity and opportunity to lead fulfilling lives,,,,,,,,,,,,,,,,,,,,,,,,
,,BE04,Procurement,Procurement,"Natural resources are managed to respect the welfare of ecosystems, people and animals",,,,,,,,,,,,,,,,,,,,
,,BE20,Business Ethics,Business Ethics,Business is conducted ethically ,,,,,,,,,,,,,,,,,,,,
,,BE21,Tax,Tax,The right tax is paid in the right place at the right time,,,,,,,,,,,,,,,,,,,,
,,BE22,Lobbying and Advocacy,Lobbying and Advocacy,Lobbying and advocacy safeguard the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,BE23,Financial assets,Financial assets,Financial assets safeguard the pursuit of future-fitness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
